{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:10:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:11:01'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:11:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:12:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:12:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:13:01'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:13:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:14:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:14:31'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:15:00'}
{'1': 'state', '2': 'external temp', '3': 8.6, '4': '2023-11-06 23:15:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:15:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:16:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:16:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:17:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:17:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:18:01'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:18:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:19:01'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:19:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:20:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:20:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:21:00'}
