202401231420,{357: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231520,{4852: 1.0};202401231530,{348: 1.0}
202401231420,{357: 1.0};202401230830,{8502: 0.4584, 8503: 0.5416};202401231540,{4853: 1.0};202401231530,{348: 1.0}
202401231420,{357: 1.0};202401231550,{8710: 0.4583, 8719: 0.5417};202401231540,{4853: 1.0};202401231550,{348: 1.0}
202401231420,{357: 1.0};202401231610,{8713: 0.8882, 8719: 0.1118};202401231610,{4856: 1.0};202401231610,{348: 1.0}
202401231420,{357: 1.0};202401231610,{8713: 0.8882, 8719: 0.1118};202401231620,{4858: 1.0};202401231620,{348: 1.0}
202401231420,{357: 1.0};202401231610,{8713: 0.8882, 8719: 0.1118};202401231630,{4860: 1.0};202401231620,{348: 1.0}
202401231420,{357: 1.0};202401231650,{8719: 0.9066, 8730: 0.0934};202401231650,{4863: 1.0};202401231650,{348: 1.0}
202401231420,{357: 1.0};202401231650,{8719: 0.9066, 8730: 0.0934};202401231700,{4865: 1.0};202401231700,{348: 1.0}
202401231710,{376: 1.0};202401231650,{8719: 0.9066, 8730: 0.0934};202401231700,{4865: 1.0};202401231700,{348: 1.0}
202401231720,{377: 1.0};202401231650,{8719: 0.9066, 8730: 0.0934};202401231700,{4865: 1.0};202401231700,{348: 1.0}
202401231720,{377: 1.0};202401231740,{8730: 0.6449, 8739: 0.3551};202401231740,{4872: 1.0};202401231700,{348: 1.0}
202401231720,{377: 1.0};202401231740,{8730: 0.6449, 8739: 0.3551};202401231800,{4874: 0.7405, 4879: 0.2595};202401231700,{348: 1.0}
